level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	27	1	1	10	934	255	48	12	0	Se
5	1	27	1	1	11	986	255	85	10	1	GAEL
5	1	27	1	1	12	1017	247	15	28	0	TI
5	1	27	1	1	13	1031	255	25	10	0	LON
5	1	27	1	1	14	1075	255	59	12	0	ETET
4	1	27	1	2	0	368	274	771	13	-1	
5	1	27	1	2	1	368	274	83	13	0	ESETE
5	1	27	1	2	2	460	275	8	10	0	L
5	1	27	1	2	3	467	274	71	11	5	ESETE
5	1	27	1	2	4	519	267	12	28	13	E
5	1	27	1	2	5	542	267	25	28	10	TET
5	1	27	1	2	6	568	275	87	12	0	TSA
5	1	27	1	2	7	659	274	117	13	0	TELET
5	1	27	1	2	8	805	275	11	10	12	E
5	1	27	1	2	9	826	267	42	28	0	SSEL
5	1	27	1	2	10	883	275	51	10	3	ESTE
5	1	27	1	2	11	938	275	122	12	0	VELT
5	1	27	1	2	12	973	267	4	28	0	K
5	1	27	1	2	13	978	267	36	28	0	HO
5	1	27	1	2	14	1018	267	32	28	8	LN
5	1	27	1	2	15	1064	278	4	7	0	e
5	1	27	1	2	16	1072	275	67	10	0	SL
5	1	27	1	2	17	1107	267	5	28	0	T
5	1	27	1	2	18	1114	275	25	10	14	Tea
3	1	27	2	0	0	367	293	777	33	-1	
4	1	27	2	1	0	367	293	777	13	-1	
5	1	27	2	1	1	367	294	76	12	96	szükségesek.
5	1	27	2	1	2	447	294	60	12	96	Személyre
5	1	27	2	1	3	511	294	58	10	95	szabottan
5	1	27	2	1	4	573	294	69	12	96	beállíthatja,
5	1	27	2	1	5	646	294	28	12	96	hogy
5	1	27	2	1	6	678	297	12	7	96	az
5	1	27	2	1	7	694	294	29	10	94	oldal
5	1	27	2	1	8	727	294	82	10	94	használatához
5	1	27	2	1	9	813	293	72	13	96	mindenképp
5	1	27	2	1	10	889	294	73	12	96	szükségesen
5	1	27	2	1	11	967	294	27	10	96	kívül
5	1	27	2	1	12	997	297	12	7	96	az
5	1	27	2	1	13	1013	294	52	10	96	analitikai
5	1	27	2	1	14	1069	294	13	10	95	és
5	1	27	2	1	15	1086	294	58	12	95	marketing
4	1	27	2	2	0	399	314	634	12	-1	
5	1	27	2	2	1	399	314	30	10	82	közül
5	1	27	2	2	2	433	314	54	12	95	melyeket
5	1	27	2	2	3	490	314	51	10	96	szeretné
5	1	27	2	2	4	545	314	24	12	96	még
5	1	27	2	2	5	574	314	58	12	96	elfogadni.
5	1	27	2	2	6	636	315	14	9	95	Az
5	1	27	2	2	7	654	314	37	10	93	összes
5	1	27	2	2	8	695	314	105	12	96	engedélyezésével
5	1	27	2	2	9	803	317	12	7	95	az
5	1	27	2	2	10	819	314	63	10	94	előbbieket
5	1	27	2	2	11	886	314	28	10	94	mind
5	1	27	2	2	12	918	314	58	12	96	elfogadja.
5	1	27	2	2	13	980	315	8	9	96	A
5	1	27	2	2	14	992	314	41	10	11	beállítás
2	1	28	0	0	0	647	333	256	10	-1	
3	1	28	1	0	0	647	333	256	10	-1	
4	1	28	1	1	0	647	333	256	10	-1	
5	1	28	1	1	1	639	324	27	28	96	kat
5	1	28	1	1	2	670	336	6	7	93	a
5	1	28	1	1	3	679	333	53	10	93	weboldalunk
5	1	28	1	1	4	745	333	108	10	92	sütikezeléséről
5	1	28	1	1	5	856	324	18	28	91	itt
5	1	28	1	1	6	880	333	23	10	96	talál
2	1	29	0	0	0	759	370	399	53	-1	
3	1	29	1	0	0	759	370	399	53	-1	
4	1	29	1	1	0	759	370	399	53	-1	
5	1	29	1	1	1	759	385	47	18	96	ÖSSZES
5	1	29	1	1	2	811	386	83	17	96	ELUTASÍTÁSA
5	1	29	1	1	3	912	370	107	53	4	(összes
5	1	29	1	1	4	1021	370	111	53	4	ensenényezése
5	1	29	1	1	5	1137	370	21	53	25	)
2	1	30	0	0	0	1180	266	302	119	-1	
3	1	30	1	0	0	1180	266	302	119	-1	
4	1	30	1	1	0	1301	266	181	24	-1	
5	1	30	1	1	1	1301	266	181	24	95	 
4	1	30	1	2	0	1180	290	60	81	-1	
5	1	30	1	2	1	1180	290	60	81	95	  
4	1	30	1	3	0	1180	371	10	14	-1	
5	1	30	1	3	1	1180	371	10	14	95	 
2	1	31	0	0	0	1190	272	111	12	-1	
3	1	31	1	0	0	1190	272	111	12	-1	
4	1	31	1	1	0	1190	272	111	12	-1	
5	1	31	1	1	1	1190	272	46	12	67	ELVÉNY
